experiment,layer,metric,value,ci_low,ci_high,n_images,interpretation
channel_semantics,model.13.eca,all_target_focused_fraction,0.012735445205479453,0.01113013698630137,0.01444777397260274,146,每张图全部通道的目标聚焦基准比例
channel_semantics,model.16.eca,spearman_variance_vs_target_focus,-0.17042720407446435,-0.18032727902804957,-0.160170919263385,146,方差与目标聚焦程度的图像级单调关联
channel_semantics,model.16.eca,auc_variance_predict_target_focused,0.5656310346449235,0.5455602404384612,0.586775397138823,129,方差单独识别目标聚焦通道的图像级 AUC；0.5近随机
channel_semantics,model.16.eca,high_variance_target_focused_fraction,0.11275026343519495,0.09852476290832457,0.12802950474183353,146,每张图高方差通道中的目标聚焦比例
channel_semantics,model.16.eca,high_variance_background_focused_fraction,0.4594309799789252,0.4383561643835616,0.47997892518440455,146,每张图高方差通道中的背景更强比例
channel_semantics,model.16.eca,spearman_negative_mu_vs_target_focus,0.2857169776719542,0.2745713122496747,0.2972123852175222,146,低均值与目标聚焦程度的图像级单调关联
channel_semantics,model.16.eca,auc_negative_mu_predict_target_focused,0.6007901706210516,0.5854622304212833,0.6154329236710192,129,低均值单独识别目标聚焦通道的图像级 AUC；0.5近随机
channel_semantics,model.16.eca,low_mu_target_focused_fraction,0.07060063224446786,0.05742887249736565,0.08482613277133826,146,每张图低均值通道中的目标聚焦比例
channel_semantics,model.16.eca,all_target_focused_fraction,0.08668664383561644,0.0759845890410959,0.0974957191780822,146,每张图全部通道的目标聚焦基准比例
channel_semantics,model.19.eca,spearman_variance_vs_target_focus,-0.11655754660067778,-0.13050298050560263,-0.10362111892265956,146,方差与目标聚焦程度的图像级单调关联
channel_semantics,model.19.eca,auc_variance_predict_target_focused,0.6736614256833379,0.6640862065971666,0.6829915021334703,145,方差单独识别目标聚焦通道的图像级 AUC；0.5近随机
channel_semantics,model.19.eca,high_variance_target_focused_fraction,0.17781875658587987,0.1649104320337197,0.19099051633298209,146,每张图高方差通道中的目标聚焦比例
channel_semantics,model.19.eca,high_variance_background_focused_fraction,0.48024236037934664,0.46522655426765014,0.4957850368809273,146,每张图高方差通道中的背景更强比例
channel_semantics,model.19.eca,spearman_negative_mu_vs_target_focus,0.08291088208291422,0.07072748241421736,0.09583051002375499,146,低均值与目标聚焦程度的图像级单调关联
channel_semantics,model.19.eca,auc_negative_mu_predict_target_focused,0.39442549257936765,0.3833163869647138,0.4060624308715961,145,低均值单独识别目标聚焦通道的图像级 AUC；0.5近随机
channel_semantics,model.19.eca,low_mu_target_focused_fraction,0.031875658587987354,0.026870389884088516,0.0368809272918862,146,每张图低均值通道中的目标聚焦比例
channel_semantics,model.19.eca,all_target_focused_fraction,0.1171875,0.11076492936643836,0.12323683647260272,146,每张图全部通道的目标聚焦基准比例
channel_semantics,model.22.eca,spearman_variance_vs_target_focus,-0.36477688227023053,-0.3818260499966633,-0.3474599437362898,141,方差与目标聚焦程度的图像级单调关联
channel_semantics,model.22.eca,auc_variance_predict_target_focused,0.6960870867780162,0.6796567349755245,0.7121754912412844,139,方差单独识别目标聚焦通道的图像级 AUC；0.5近随机
channel_semantics,model.22.eca,high_variance_target_focused_fraction,0.04378068739770867,0.03546099290780142,0.05319489907255863,141,每张图高方差通道中的目标聚焦比例
channel_semantics,model.22.eca,high_variance_background_focused_fraction,0.806873977086743,0.7956867157665029,0.8183340152755045,141,每张图高方差通道中的背景更强比例
channel_semantics,model.22.eca,spearman_negative_mu_vs_target_focus,0.27374813222148336,0.25544535223581527,0.2927216571261263,141,低均值与目标聚焦程度的图像级单调关联
channel_semantics,model.22.eca,auc_negative_mu_predict_target_focused,0.23572568595242288,0.22263746679228377,0.24871998623489838,139,低均值单独识别目标聚焦通道的图像级 AUC；0.5近随机
channel_semantics,model.22.eca,low_mu_target_focused_fraction,0.0001363884342607747,0.0,0.0004091653027823241,141,每张图低均值通道中的目标聚焦比例
channel_semantics,model.22.eca,all_target_focused_fraction,0.02942154255319149,0.026122700576241133,0.03310616134751773,141,每张图全部通道的目标聚焦基准比例
brightness,model.2.eca,natural_spearman_gray_vs_corr,0.686086956521739,0.33307052124397724,0.8300574671714618,24,自然样本中像素灰度与深层 corr 的关联
