layer,stage,factor,alpha,beta,gamma,n_images,count,mean,std,p05,p50,p95,min,max,status
model.2.eca,Backbone,corr,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,146,0.34365576709786505,0.007536230049730313,0.3340916782617569,0.3452760726213455,0.35650521516799927,0.333308607339859,0.36156007647514343,Hard_Test_aggregate_from_seed42_best_checkpoint
model.2.eca,Backbone,w_eca,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,9344,0.5239106026655127,0.1203838942823351,0.34249146580696105,0.5175185203552246,0.7502142608165742,0.12070434540510178,0.9420946836471558,Hard_Test_aggregate_from_seed42_best_checkpoint
model.2.eca,Backbone,w_sup,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,9344,0.9354130112094013,0.021284741203876714,0.8927557438611984,0.9406051635742188,0.9572032868862153,0.7632290720939636,0.9608200788497925,Hard_Test_aggregate_from_seed42_best_checkpoint
model.2.eca,Backbone,w_rec,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,9344,1.00066091860198,0.00023890963349516514,1.000141829252243,1.0007266998291016,1.0009239733219146,1.000008225440979,1.0009807348251343,Hard_Test_aggregate_from_seed42_best_checkpoint
model.2.eca,Backbone,w_bri,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,146,0.9964866756576382,7.704599160780168e-05,0.9963552951812744,0.9964701235294342,0.9965844303369522,0.9963036179542542,0.9965924620628357,Hard_Test_aggregate_from_seed42_best_checkpoint
model.2.eca,Backbone,w_stat,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,9344,0.9327448510552105,0.021320340976988095,0.8898988842964173,0.9378563463687897,0.9547262042760849,0.7610428929328918,0.958392858505249,Hard_Test_aggregate_from_seed42_best_checkpoint
model.2.eca,Backbone,w_final,0.0017871856689453125,0.057098388671875,-0.010223388671875,146,9344,0.4891987428211046,0.11461701700080594,0.31877370029687885,0.48670071363449097,0.706580576300621,0.11293366551399231,0.8723681569099426,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,corr,0.059234619140625,0.0032482147216796875,0.04840087890625,146,146,0.5207610840666784,0.0015038053441804578,0.5181909501552582,0.5213937163352966,0.5227902978658676,0.5176630020141602,0.523837685585022,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,w_eca,0.059234619140625,0.0032482147216796875,0.04840087890625,146,18688,0.5120266986682322,0.035610185633842585,0.4447512701153755,0.5179250240325928,0.5550955235958099,0.34166327118873596,0.6375617980957031,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,w_sup,0.059234619140625,0.0032482147216796875,0.04840087890625,146,18688,0.9976714697717498,7.266208976958097e-05,0.9975312560796737,0.9976900815963745,0.9977401494979858,0.9969942569732666,0.997750461101532,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,w_rec,0.059234619140625,0.0032482147216796875,0.04840087890625,146,18688,1.0308712756210199,0.0028731984012701738,1.0261186480522155,1.0319485068321228,1.0330522060394287,1.0108388662338257,1.0333261489868164,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,w_bri,0.059234619140625,0.0032482147216796875,0.04840087890625,146,146,1.0252052937468437,7.278426150215703e-05,1.0250808596611023,1.025235891342163,1.0253035128116608,1.0250552892684937,1.0253541469573975,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,w_stat,0.059234619140625,0.0032482147216796875,0.04840087890625,146,18688,1.0543938652892941,0.00297439995440577,1.049475872516632,1.055480718612671,1.0567545413970947,1.0339473485946655,1.0571130514144897,Hard_Test_aggregate_from_seed42_best_checkpoint
model.4.eca,Backbone,w_final,0.059234619140625,0.0032482147216796875,0.04840087890625,146,18688,0.5398445246447745,0.03703732574815327,0.4696916341781616,0.5464033484458923,0.5834731519222259,0.36074039340019226,0.6593201160430908,Hard_Test_aggregate_from_seed42_best_checkpoint
model.6.eca,Backbone,corr,0.06927490234375,-0.0113067626953125,0.06182861328125,146,146,0.47828098866221025,0.0016980846992693552,0.4754503667354584,0.47852732241153717,0.4809383526444435,0.47289183735847473,0.48311445116996765,Hard_Test_aggregate_from_seed42_best_checkpoint
